Customer-ID,ProductID,PurchaseQuantity,Categories,Products,CustomerName,Gender
CUSTIDXX-249,PRODOXIID257,10,Outdoor and Garden,    Plant Pots,Deborah Wilson,F
CUSTIDXX-250,PRODOXIID168,7,Medical Supplies,    Medical Masks,Michelle Wilson,F
CUSTIDXX-251,PRODOXIID90,10,Pasta Rice and Grains,    Pasta,Eddie Holmes,F
CUSTIDXX-253,PRODOXIID116,12,Beverages,    Sports Drinks,Ricky Davis,F
CUSTIDXX-257,PRODOXIID285,16,Ethnic Foods,    Greek Olives,Joe Walters,F
CUSTIDXX-260,PRODOXIID232,1,Automotive and Hardware,    Tire Pressure Gauge,William Contreras,F
CUSTIDXX-261,PRODOXIID291,14,Deli and Prepared Foods,    Salad Bar,Todd White,F
CUSTIDXX-262,PRODOXIID88,3,Breakfast and Cereal,    Breakfast Sandwiches,Mitchell Robertson,F
CUSTIDXX-263,PRODOXIID154,18,Pet Supplies,    Dog Toys,Christopher Allen,F
CUSTIDXX-265,PRODOXIID295,13,Deli and Prepared Foods,    Fresh Fruit Platter,Samantha Martin,F
CUSTIDXX-267,PRODOXIID138,15,Personal Care and Beauty,    Lotion,Carlos Carter,F
CUSTIDXX-271,PRODOXIID197,11,Electronics and Appliances,    HDMI Cables,Samantha Harris,F
CUSTIDXX-274,PRODOXIID26,23,Meat and Seafood,Sausages,Andrew Smith,F
CUSTIDXX-275,PRODOXIID88,11,Breakfast and Cereal,    Breakfast Sandwiches,Veronica Maddox,F
CUSTIDXX-276,PRODOXIID88,4,Breakfast and Cereal,    Breakfast Sandwiches,Barry Bowman DDS,F
CUSTIDXX-278,PRODOXIID269,13,Books Music and Movies,    Self-Help Book,Kevin Reyes,F
CUSTIDXX-279,PRODOXIID209,6,Home and Kitchen,    Trash Can,John Romero MD,F
CUSTIDXX-280,PRODOXIID96,11,Pasta Rice and Grains,    Rice Pilaf,Ronald Harper,F
CUSTIDXX-281,PRODOXIID52,10,Canned and Packaged Goods,    Canned Tomatoes,Doris Campbell,F
CUSTIDXX-284,PRODOXIID226,11,Apparel and Accessories        ,    Hat,Zachary Lozano,F
CUSTIDXX-286,PRODOXIID96,9,Pasta Rice and Grains,    Rice Pilaf,Oscar Park,F
CUSTIDXX-289,PRODOXIID260,11,Books Music and Movies,    Novel,Karl Taylor,F
CUSTIDXX-290,PRODOXIID162,24,Medical Supplies,    Pain Relievers,Elizabeth Stout,F
CUSTIDXX-294,PRODOXIID26,10,Meat and Seafood,Sausages,Ronald Collins,F
CUSTIDXX-295,PRODOXIID50,12,Canned and Packaged Goods,    Canned Beans,Jacqueline Gallegos,F
CUSTIDXX-296,PRODOXIID191,2,Electronics and Appliances,    Phone Chargers,Bradley White,F
CUSTIDXX-298,PRODOXIID87,14,Breakfast and Cereal,    Breakfast Sausage,Julie Garrett,F
CUSTIDXX-299,PRODOXIID210,5,Toys and Games,    Board Game,Katherine Cooper,F
CUSTIDXX-300,PRODOXIID120,1,Household Essentials,    Paper Towels,Kimberly Brock,F
CUSTIDXX-302,PRODOXIID293,16,Deli and Prepared Foods,    Ready-to-Eat Sushi,Shelly Dunn,F
CUSTIDXX-308,PRODOXIID108,21,Baking Supplies,    Pie Crust Mix,Colleen Fry,F
CUSTIDXX-311,PRODOXIID220,7,Apparel and Accessories        ,    T-shirt,Jose Villarreal,F
CUSTIDXX-313,PRODOXIID258,17,Outdoor and Garden,    Bird Feeder,Marvin Grant,F
CUSTIDXX-314,PRODOXIID263,2,Books Music and Movies,    Music CD,Erika Ramirez,F
CUSTIDXX-316,PRODOXIID218,3,Toys and Games,    Stuffed Animal,Chris Thompson,F
CUSTIDXX-319,PRODOXIID231,13,Automotive and Hardware,    Car Battery,Daniel Freeman,F
CUSTIDXX-320,PRODOXIID160,16,Medical Supplies,    Vitamins,Rose Campbell,F
CUSTIDXX-321,PRODOXIID179,5,Office and School Supplies,    Desk Organizers,Brandon Munoz,F
CUSTIDXX-322,PRODOXIID248,16,Seasonal Items,    Fourth of July Flags,Kimberly Chavez,F
CUSTIDXX-323,PRODOXIID189,14,Hygiene,    Trash Cans,Noah Perez,F
CUSTIDXX-326,PRODOXIID189,17,Hygiene,    Trash Cans,Kathryn Jennings,F
CUSTIDXX-327,PRODOXIID190,8,Electronics and Appliances,    Batteries,Kristen Patel,F
CUSTIDXX-328,PRODOXIID11,7,Dairy ,Cheese,Dr. Kimberly Peters,F
CUSTIDXX-329,PRODOXIID42,22,Frozen Foods,    Frozen Meals,Jesse Figueroa,F
CUSTIDXX-331,PRODOXIID279,9,Sports and Fitness,    Sports Towel,Sarah Rose,F
CUSTIDXX-334,PRODOXIID130,23,Personal Care and Beauty,    Shampoo,Sarah Knox,F
CUSTIDXX-336,PRODOXIID203,7,Home and Kitchen,    Coffee Maker,Kevin Wolf,F
CUSTIDXX-337,PRODOXIID296,1,Deli and Prepared Foods,    Antipasto Tray,Susan Mckee,F
CUSTIDXX-339,PRODOXIID53,4,Canned and Packaged Goods,    Canned Soups,John Palmer,F
CUSTIDXX-342,PRODOXIID25,7,Meat and Seafood,Lobster,Karen Carroll,F
CUSTIDXX-343,PRODOXIID119,1,Beverages,    Sparkling Water,Lisa Burns,F
CUSTIDXX-344,PRODOXIID120,11,Household Essentials,    Paper Towels,Rachel Anderson,F
CUSTIDXX-345,PRODOXIID17,15,Dairy ,Sour Cream,Isabel Collins,F
CUSTIDXX-350,PRODOXIID245,23,Seasonal Items,    Summer Beach Towel,Kiara Bridges,F
CUSTIDXX-351,PRODOXIID213,14,Toys and Games,    Action Figure,Paul Hartman,F
CUSTIDXX-353,PRODOXIID230,4,Automotive and Hardware,    Motor Oil,Karen Tapia,F
CUSTIDXX-355,PRODOXIID86,7,Breakfast and Cereal,    Waffles,James Fuller,F
CUSTIDXX-358,PRODOXIID35,6,Bakery,Cookies,Adam Solomon,F
CUSTIDXX-359,PRODOXIID221,15,Apparel and Accessories        ,    Jeans,Richard Stone,F
CUSTIDXX-361,PRODOXIID61,18,Snacks and Beverages,    Popcorn,Troy Atkins,F
CUSTIDXX-362,PRODOXIID60,5,Snacks and Beverages,    Potato Chips,Stacy Green,F
CUSTIDXX-363,PRODOXIID23,14,Meat and Seafood,Fish,Kenneth Hutchinson,F
CUSTIDXX-364,PRODOXIID101,23,Baking Supplies,    Sugar,Ethan Griffith,F
CUSTIDXX-365,PRODOXIID187,9,Hygiene,    Cleaning Brushes,Maria Reed,F
CUSTIDXX-367,PRODOXIID264,9,Books Music and Movies,    Blu-ray Movie,Elizabeth Williams,F
CUSTIDXX-368,PRODOXIID292,4,Deli and Prepared Foods,    Rotisserie Chicken,Edwin Willis,F
CUSTIDXX-369,PRODOXIID240,6,Seasonal Items,    Christmas Lights,Jennifer Black,F
CUSTIDXX-370,PRODOXIID93,23,Pasta Rice and Grains,    Couscous,Anthony King,F
CUSTIDXX-376,PRODOXIID35,25,Bakery,Cookies,Melissa Petersen,F
CUSTIDXX-379,PRODOXIID272,6,Sports and Fitness,    Exercise Ball,Andrew Richardson,F
CUSTIDXX-380,PRODOXIID63,2,Snacks and Beverages,    Crackers,Holly Jones,F
CUSTIDXX-382,PRODOXIID231,3,Automotive and Hardware,    Car Battery,Sean Brown,F
CUSTIDXX-383,PRODOXIID256,3,Outdoor and Garden,    Outdoor Lanterns,Kelly Ballard,F
CUSTIDXX-384,PRODOXIID58,2,Canned and Packaged Goods,    Boxed Macaroni and Cheese,Edwin Johnson,F
CUSTIDXX-389,PRODOXIID277,13,Sports and Fitness,    Water Bottles,John Foley,F
CUSTIDXX-391,PRODOXIID190,2,Electronics and Appliances,    Batteries,Michael Myers,F
CUSTIDXX-392,PRODOXIID77,16,Condiments and Sauces,    Salad Dressing,Kevin Olson,F
CUSTIDXX-394,PRODOXIID286,15,Ethnic Foods,    Japanese Sushi Rice,Danielle Kelley,F
CUSTIDXX-396,PRODOXIID110,11,Beverages,    Coffee Beans,Frank Perez,F
CUSTIDXX-397,PRODOXIID74,21,Condiments and Sauces,    Hot Sauce,Susan Jones,F
CUSTIDXX-399,PRODOXIID243,21,Seasonal Items,    Thanksgiving Decorations,Crystal Little,F
CUSTIDXX-400,PRODOXIID183,5,Hygiene,    Bleach,Darrell Kane,F
CUSTIDXX-401,PRODOXIID182,20,Hygiene,    Disinfectant Spray,Andrew Knight,F
CUSTIDXX-402,PRODOXIID95,13,Pasta Rice and Grains,    Instant Rice,Mackenzie Parker,F
CUSTIDXX-404,PRODOXIID151,25,Pet Supplies,    Cat Food,Jason Nguyen,F
CUSTIDXX-405,PRODOXIID275,11,Sports and Fitness,    Jump Rope,Joseph Casey,F
CUSTIDXX-407,PRODOXIID242,13,Seasonal Items,    Easter Eggs,Michelle Black,F
CUSTIDXX-412,PRODOXIID149,3,Baby and Toddler,    Diaper Creams,Olivia Tucker,F
CUSTIDXX-413,PRODOXIID96,6,Pasta Rice and Grains,    Rice Pilaf,Brendan Johnson,F
CUSTIDXX-414,PRODOXIID229,18,Apparel and Accessories        ,    Handbag,Scott Mcdonald,F
CUSTIDXX-415,PRODOXIID169,10,Medical Supplies,    Heating Pads,Mark Ross,F
CUSTIDXX-416,PRODOXIID250,4,Outdoor and Garden,    Lawn Mower,Heather Jackson,F
CUSTIDXX-420,PRODOXIID261,1,Books Music and Movies,    Biography Book,Jose Brown,F
CUSTIDXX-421,PRODOXIID115,7,Beverages,    Juice,Maxwell Mueller,F
CUSTIDXX-422,PRODOXIID169,11,Medical Supplies,    Heating Pads,Samuel Brown,F
CUSTIDXX-427,PRODOXIID34,11,Bakery,Muffins,Matthew Castillo,F
CUSTIDXX-434,PRODOXIID81,2,Breakfast and Cereal,    Oatmeal,Christian White,F
CUSTIDXX-436,PRODOXIID199,1,Electronics and Appliances,    Wireless Mouse,Paul Sullivan,F
CUSTIDXX-437,PRODOXIID90,3,Pasta Rice and Grains,    Pasta,Gina Peters,F
CUSTIDXX-439,PRODOXIID295,18,Deli and Prepared Foods,    Fresh Fruit Platter,Jamie Rivers,F
CUSTIDXX-444,PRODOXIID15,14,Dairy ,Cottage Cheese,Seth Brown,F
CUSTIDXX-446,PRODOXIID116,10,Beverages,    Sports Drinks,Carlos Wyatt,F
CUSTIDXX-447,PRODOXIID160,6,Medical Supplies,    Vitamins,Kyle Rivera,F
CUSTIDXX-455,PRODOXIID181,8,Hygiene,    Glass Cleaner,Tracy Mayo,F
CUSTIDXX-456,PRODOXIID43,19,Frozen Foods,    Ice Cream,Cheryl Mcintosh,F
CUSTIDXX-457,PRODOXIID103,16,Baking Supplies,    Chocolate Chips,Stephanie Jenkins,F
CUSTIDXX-458,PRODOXIID199,1,Electronics and Appliances,    Wireless Mouse,Glenda Boone,F
CUSTIDXX-460,PRODOXIID162,19,Medical Supplies,    Pain Relievers,Brenda Fox,F
CUSTIDXX-464,PRODOXIID73,23,Condiments and Sauces,    Barbecue Sauce,Alexander Carlson,F
CUSTIDXX-467,PRODOXIID190,20,Electronics and Appliances,    Batteries,Sean Irwin,F
CUSTIDXX-472,PRODOXIID63,7,Snacks and Beverages,    Crackers,Kylie Gaines,F
CUSTIDXX-474,PRODOXIID16,6,Dairy ,Cream,Lisa Smith,F
CUSTIDXX-475,PRODOXIID251,3,Outdoor and Garden,    Garden Hose,Cristian Petersen,F
CUSTIDXX-477,PRODOXIID109,11,Baking Supplies,    Food Coloring,Brandon Grimes,F
CUSTIDXX-478,PRODOXIID50,23,Canned and Packaged Goods,    Canned Beans,Bianca Walker,F
CUSTIDXX-479,PRODOXIID74,16,Condiments and Sauces,    Hot Sauce,Laura Guzman,F
CUSTIDXX-481,PRODOXIID231,13,Automotive and Hardware,    Car Battery,David Foster,F
CUSTIDXX-485,PRODOXIID41,4,Frozen Foods,    Frozen Fruits,John Ross,F
CUSTIDXX-486,PRODOXIID138,18,Personal Care and Beauty,    Lotion,Scott Mendez,F
CUSTIDXX-487,PRODOXIID196,6,Electronics and Appliances,    Laptop Sleeves,Kelly Williams,F
CUSTIDXX-488,PRODOXIID249,24,Seasonal Items,    New Year's Eve Party Supplies,Bridget Jordan,F
CUSTIDXX-490,PRODOXIID8,25,Produce,Oranges,Kathleen Hawkins,F
CUSTIDXX-497,PRODOXIID142,20,Baby and Toddler,    Baby Formula,Stacy Richards,F
CUSTIDXX-498,PRODOXIID229,16,Apparel and Accessories        ,    Handbag,Lauren Jones,F
CUSTIDXX-499,PRODOXIID81,12,Breakfast and Cereal,    Oatmeal,Corey Vargas,F
CUSTIDXX-500,PRODOXIID2,4,Produce,Carrots,Ryan Smith,F
CUSTIDXX-502,PRODOXIID204,8,Home and Kitchen,    Toaster Oven,Brent Diaz,F
CUSTIDXX-507,PRODOXIID39,1,Bakery,Rolls,Kevin Martin,F
CUSTIDXX-508,PRODOXIID282,7,Ethnic Foods,    Chinese Noodles,Sandra Benton,F
CUSTIDXX-510,PRODOXIID77,9,Condiments and Sauces,    Salad Dressing,Dennis Long,F
CUSTIDXX-512,PRODOXIID211,21,Toys and Games,    Puzzle,Eric White,F
CUSTIDXX-515,PRODOXIID153,11,Pet Supplies,    Cat Litter,Rebecca Taylor,F
CUSTIDXX-517,PRODOXIID147,13,Baby and Toddler,    Baby Powder,Linda Ramirez,F
CUSTIDXX-521,PRODOXIID163,16,Medical Supplies,    Allergy Medication,April Weber,F
CUSTIDXX-522,PRODOXIID233,1,Automotive and Hardware,    Tool Set,Megan Schmitt,F
CUSTIDXX-523,PRODOXIID87,1,Breakfast and Cereal,    Breakfast Sausage,Linda Fisher,F
CUSTIDXX-526,PRODOXIID31,19,Bakery,Bagels,Alison Webb,F
CUSTIDXX-527,PRODOXIID6,14,Produce,Onions,Connor Brown,F
CUSTIDXX-528,PRODOXIID92,16,Pasta Rice and Grains,    Quinoa,Susan Parker,F
CUSTIDXX-529,PRODOXIID241,7,Seasonal Items,    Halloween Costume,Adrian Johnson,F
CUSTIDXX-531,PRODOXIID41,12,Frozen Foods,    Frozen Fruits,Sandra Brown,F
CUSTIDXX-532,PRODOXIID185,19,Hygiene,    Broom and Dustpan,John Robertson,F
CUSTIDXX-533,PRODOXIID270,3,Sports and Fitness,    Yoga Mat,Erica Lewis,F
CUSTIDXX-536,PRODOXIID254,20,Outdoor and Garden,    Garden Tools,Kimberly Collins,F
CUSTIDXX-537,PRODOXIID203,23,Home and Kitchen,    Coffee Maker,Judy Mccall,F
CUSTIDXX-539,PRODOXIID112,14,Beverages,    Bottled Water,Angela Donaldson,F
CUSTIDXX-541,PRODOXIID190,3,Electronics and Appliances,    Batteries,Kelly Peterson,F
CUSTIDXX-542,PRODOXIID252,25,Outdoor and Garden,    Patio Furniture Set,Sonia Mann,F
CUSTIDXX-544,PRODOXIID10,14,Dairy ,Milk,Michelle Smith,F
CUSTIDXX-547,PRODOXIID86,20,Breakfast and Cereal,    Waffles,Kristy Sharp,F
CUSTIDXX-548,PRODOXIID256,10,Outdoor and Garden,    Outdoor Lanterns,Brian Coleman,F
CUSTIDXX-549,PRODOXIID197,7,Electronics and Appliances,    HDMI Cables,Leslie Mendoza,F
CUSTIDXX-552,PRODOXIID141,13,Baby and Toddler,    Baby Wipes,Yolanda Powell,F
CUSTIDXX-555,PRODOXIID201,10,Home and Kitchen,    Blender,Clinton Bean,F
CUSTIDXX-557,PRODOXIID137,18,Personal Care and Beauty,    Razors,Susan Chambers,F
CUSTIDXX-560,PRODOXIID190,6,Electronics and Appliances,    Batteries,Troy Welch,F
CUSTIDXX-561,PRODOXIID220,10,Apparel and Accessories        ,    T-shirt,Donna White,F
CUSTIDXX-562,PRODOXIID168,12,Medical Supplies,    Medical Masks,Daniel Carr,F
CUSTIDXX-563,PRODOXIID212,17,Toys and Games,    Doll,Cynthia Davies,F
CUSTIDXX-565,PRODOXIID82,24,Breakfast and Cereal,    Pancake Mix,Erik Thomas,F
CUSTIDXX-568,PRODOXIID209,14,Home and Kitchen,    Trash Can,Barbara Roy,F
CUSTIDXX-571,PRODOXIID137,14,Personal Care and Beauty,    Razors,Alexis Ho,F
CUSTIDXX-572,PRODOXIID40,25,Frozen Foods,Frozen Vegetables,Alisha Gonzales,F
CUSTIDXX-573,PRODOXIID185,20,Hygiene,    Broom and Dustpan,Jason Bernard,F
CUSTIDXX-576,PRODOXIID56,11,Canned and Packaged Goods,    Canned Tuna,Jonathan Roberts,F
CUSTIDXX-577,PRODOXIID154,8,Pet Supplies,    Dog Toys,Thomas Johnson,F
CUSTIDXX-578,PRODOXIID234,23,Automotive and Hardware,    Flashlight,Alicia Pacheco,F
CUSTIDXX-581,PRODOXIID85,19,Breakfast and Cereal,    Instant Pancake Mix,James Wilson,F
CUSTIDXX-583,PRODOXIID273,6,Sports and Fitness,    Running Shoes,Christopher Lucas,F
CUSTIDXX-584,PRODOXIID259,13,Outdoor and Garden,    Outdoor Umbrella,Jacob Perry,F
CUSTIDXX-585,PRODOXIID131,15,Personal Care and Beauty,    Conditioner,Eric Anderson,F
CUSTIDXX-590,PRODOXIID23,1,Meat and Seafood,Fish,Spencer Barker MD,F
